precinct,Year,total_pop,minority_pct,per_capita_income_inflation_adjust,total_pop_lag1,minority_pct_lag1,per_capita_income_lag1
1,2006,83293.37912088027,0.2672295826443456,87482.28266327083,,,
5,2006,93739.91208791279,0.38462652525733887,74453.14260804188,,,
6,2006,70587.42857143283,0.19075672364654395,93954.04732623696,,,
7,2006,88347.67032967068,0.40401640944132566,69879.51676189061,,,
9,2006,112501.01098901196,0.24703345740177163,80506.11818671413,,,
10,2006,87245.087912085,0.2837518454793866,77960.55720303953,,,
13,2006,105676.65934066381,0.2184967105094202,86443.43050131388,,,
14,2006,95667.41208790708,0.2612832439354307,92834.69906415604,,,
17,2006,82876.54945054813,0.18454943377347632,112446.37417261116,,,
18,2006,132179.34615383856,0.34149529025552994,79846.88250784017,,,
19,2006,214779.25824175216,0.3348560106816678,86969.73238585144,,,
20,2006,77265.51098901237,0.5884328794574074,57418.53944469849,,,
22,2006,161169.93406593055,0.554032719422139,63072.54918041639,,,
23,2006,119651.79670329625,0.7358144367006076,30039.419623922557,,,
24,2006,110618.72527472838,0.754661281504724,37789.71661426453,,,
25,2006,105412.55494505563,0.8468591651991062,18679.8709501978,,,
26,2006,88065.08241758184,0.7542836626533358,20041.141396031715,,,
28,2006,112623.2197802185,0.8203452146864834,21329.880538688973,,,
30,2006,56507.4120879143,0.644237820488506,20306.2385510467,,,
32,2006,77001.14835165069,0.6947713181938724,17286.626218744554,,,
33,2006,83084.02197802556,0.28218039155037083,19163.24030170124,,,
34,2006,110498.20879120962,0.18311661029200543,20924.44327776297,,,
40,2006,135553.26373626757,0.9195201844129173,9280.125876270235,,,
41,2006,83216.15384615865,0.8809847975258833,4339.617626262829,,,
42,2006,125444.05494505819,0.9605820843410555,3161.7716525066644,,,
43,2006,140012.94505494437,0.8944110319143022,9337.535685617477,,,
44,2006,138986.96153846383,0.8295593425078778,8681.976123103872,,,
45,2006,89059.45054945094,0.7019307476112857,12627.028465019539,,,
46,2006,124521.0714285695,0.718579933290016,16522.649893469177,,,
47,2006,204948.84615384229,0.6156045614627033,24628.042827010155,,,
48,2006,126292.87362637324,0.8851974379746963,13404.949055438861,,,
49,2006,130578.94505494647,0.7323923679430777,16324.591630764306,,,
50,2006,108672.37912087748,0.7108066643309954,22003.647278794087,,,
52,2006,146305.9945054952,0.5905146177405385,22039.28757589776,,,
60,2006,84034.67032967415,0.45294866627125074,13378.379517102148,,,
61,2006,6487.131701631821,0.7630593373008026,10779.226306382567,,,
62,2006,225118.52197802998,0.5091576423020552,14163.90572111914,,,
63,2006,167364.03296703473,0.7733517130071021,18552.842445357703,,,
66,2006,220404.90109891072,0.3300868422564278,18469.68337892508,,,
67,2006,169164.48901099898,0.9717627762130405,15304.982114358805,,,
68,2006,183953.78571429104,0.5856392972712179,18698.534278597916,,,
69,2006,113596.12637362722,0.8279838359302119,11722.084256949835,,,
70,2006,165555.72527473047,0.43892497662545943,18188.91902086977,,,
71,2006,113526.19780220091,0.9329321182962218,14462.512094161939,,,
72,2006,119828.89560440369,0.46124397453954824,26964.588100881432,,,
73,2006,107041.63736265153,0.7408627289469223,9787.73698943574,,,
75,2006,228020.7197802225,0.41638759611327103,14952.057596820407,,,
76,2006,68690.54945055256,0.4709656672727993,36916.7381263657,,,
77,2006,107997.34615385532,0.7962389289048346,17138.959305398166,,,
78,2006,118406.40109891072,0.5988707068871477,32016.403923968843,,,
79,2006,135044.44505495392,0.7587263126124952,13801.964485399425,,,
81,2006,108472.72527473234,0.6777732616738064,11896.313328040764,,,
83,2006,145287.7087912187,0.5166570494791156,12932.323095556349,,,
84,2006,122722.34615384834,0.5013868465498454,46474.56788769737,,,
88,2006,104332.56043956429,0.5455904604251174,27439.11630155453,,,
90,2006,123431.25824176706,0.25912037342069993,25222.291768391966,,,
94,2006,43821.78571429476,0.15605953296130792,31307.63663376996,,,
100,2006,44904.82417582115,0.5904416194380975,23462.47229129175,,,
101,2006,38614.99450549496,0.5976245405576535,22385.67613795749,,,
102,2006,266096.4175823964,0.47066413976421195,21660.242025751155,,,
103,2006,165053.5989010781,0.7382387043759753,17013.14251388563,,,
104,2006,229464.62087911367,0.45108467680639563,24282.465466350084,,,
105,2006,298188.0604395494,0.5473746419603707,23655.956358208787,,,
106,2006,170175.6483516395,0.6007489378864861,19682.627737435047,,,
107,2006,171497.35714284703,0.5880270935409655,24098.47564616683,,,
108,2006,132417.5604395494,0.5475180785837139,19496.124347960344,,,
109,2006,244910.1648351401,0.6180599067895738,22876.45426061505,,,
110,2006,157064.70879120007,0.6929811797995828,18255.012414130615,,,
111,2006,158496.197802186,0.28996069344424313,23976.010043076938,,,
112,2006,114079.63736262918,0.6390101191189146,26859.568574922345,,,
114,2006,225997.2197802104,0.432515467910093,27364.951075172983,,,
115,2006,137803.17582416534,0.6669532198745145,17513.414961259812,,,
120,2006,159878.571428556,0.20831971968952878,27244.946378766443,,,
121,2006,156865.83516482264,0.20638015211371652,28641.093450989923,,,
122,2006,162351.68131866306,0.09459854706440574,20875.89786154218,,,
123,2006,70728.48351647891,0.11596996390346348,27311.341740367003,,,
1,2007,84849.59340659436,0.2734575901708869,83091.96554177254,83293.37912088027,0.2672295826443456,87482.28266327083
5,2007,94276.72527472593,0.376204676246612,71197.35760387965,93739.91208791279,0.38462652525733887,74453.14260804188
6,2007,72946.40659341123,0.210173076555634,89394.4173053205,70587.42857143283,0.19075672364654395,93954.04732623696
7,2007,88241.83516483547,0.3842974748237822,67202.05605112948,88347.67032967068,0.40401640944132566,69879.51676189061
9,2007,113320.35164835257,0.2529242642820062,76640.7563779559,112501.01098901196,0.24703345740177163,80506.11818671413
10,2007,85716.42857142584,0.29449262061676507,75136.70210179687,87245.087912085,0.2837518454793866,77960.55720303953
13,2007,107823.25274725724,0.23565113044253394,82210.07185165584,105676.65934066381,0.2184967105094202,86443.43050131388
14,2007,94179.41758241318,0.2800965140274343,88384.25313665718,95667.41208790708,0.2612832439354307,92834.69906415604
17,2007,82091.89010988898,0.2076568895226103,106462.63325489126,82876.54945054813,0.18454943377347632,112446.37417261116
18,2007,128971.99999999348,0.35194560514943873,76955.91853176989,132179.34615383856,0.34149529025552994,79846.88250784017
19,2007,211427.8021977963,0.3363403741612605,83832.56772216782,214779.25824175216,0.3348560106816678,86969.73238585144
20,2007,77504.89010989136,0.566344688406339,56439.7250941603,77265.51098901237,0.5884328794574074,57418.53944469849
22,2007,158567.1208791174,0.536629929923393,61750.10701305512,161169.93406593055,0.554032719422139,63072.54918041639
23,2007,119037.49450549413,0.7011157352661144,31857.61630909005,119651.79670329625,0.7358144367006076,30039.419623922557
24,2007,111412.59340659622,0.719374457257075,38976.93727479968,110618.72527472838,0.754661281504724,37789.71661426453
25,2007,106460.83516483591,0.8005347831244762,21883.525516463444,105412.55494505563,0.8468591651991062,18679.8709501978
26,2007,87991.40659340608,0.7197256166129762,22400.16702938173,88065.08241758184,0.7542836626533358,20041.141396031715
28,2007,112753.57142857031,0.7778850700672706,23821.9611875955,112623.2197802185,0.8203452146864834,21329.880538688973
30,2007,57138.57142857346,0.620412534643215,22495.491671905853,56507.4120879143,0.644237820488506,20306.2385510467
32,2007,78732.20879121078,0.6625686582941341,20220.913501962088,77001.14835165069,0.6947713181938724,17286.626218744554
33,2007,84109.54945055279,0.28217603438613625,21061.19597131107,83084.02197802556,0.28218039155037083,19163.24030170124
34,2007,109692.29670329741,0.19012857372388403,21791.756882513175,110498.20879120962,0.18311661029200543,20924.44327776297
40,2007,138907.90109890513,0.865820165323413,11952.019357005134,135553.26373626757,0.9195201844129173,9280.125876270235
41,2007,86748.53846154362,0.8233194167238054,7888.898532721214,83216.15384615865,0.8809847975258833,4339.617626262829
42,2007,129503.45054945443,0.9024713387237142,7355.375535327941,125444.05494505819,0.9605820843410555,3161.7716525066644
43,2007,139574.31868131796,0.8381222347777566,11903.223030800931,140012.94505494437,0.8944110319143022,9337.535685617477
44,2007,140864.84615384834,0.7822501010505789,11813.227462874725,138986.96153846383,0.8295593425078778,8681.976123103872
45,2007,89815.34065934108,0.6668266338057975,15541.067241774872,89059.45054945094,0.7019307476112857,12627.028465019539
